modality,model,min_cluster_size,min_samples,svd_components,roc_auc,ap,precision_at_500,recall_at_500,pca_components,n_components,latent_dim
text,HDBSCAN,30.0,5.0,150.0,0.5652912585777071,0.052654631009339384,0.004,0.0023094688221709007,,,
text,HDBSCAN,30.0,10.0,150.0,0.5565558563237285,0.05168960446016284,0.008,0.004618937644341801,,,
text,HDBSCAN,30.0,5.0,75.0,0.52920020898426,0.04778566850940191,0.006,0.003464203233256351,,,
structured,HDBSCAN,30.0,10.0,,0.5222739064772361,0.06025227121286835,0.076,0.04387990762124711,20.0,,
structured,PCA_recon,,,,0.5186057888477116,0.05668641951333299,0.086,0.049653579676674366,,100.0,
structured,PCA_recon,,,,0.5146641904194644,0.052750458271314304,0.062,0.03579676674364896,,20.0,
text,HDBSCAN,20.0,10.0,150.0,0.5141724747260169,0.047418615998179606,0.006,0.003464203233256351,,,
structured,Autoencoder,,,,0.5140004930052171,0.050743291073741634,0.04,0.023094688221709007,,,32.0
structured,HDBSCAN,30.0,5.0,,0.510561605155488,0.06465126193267226,0.074,0.042725173210161664,20.0,,
structured,PCA_recon,,,,0.5090513015907834,0.05032240947349259,0.066,0.03810623556581986,,50.0,
text,HDBSCAN,20.0,5.0,150.0,0.5045861565981119,0.04663965519372826,0.0,0.0,,,
text,HDBSCAN,30.0,10.0,75.0,0.4948627417551258,0.044107929251757855,0.018,0.010392609699769052,,,
structured,HDBSCAN,20.0,5.0,,0.49070226367037495,0.04830316973111694,0.032,0.018475750577367205,20.0,,
structured,Autoencoder,,,,0.487245661839143,0.04652831504452111,0.034,0.019630484988452657,,,16.0
structured,HDBSCAN,20.0,10.0,,0.4861964647508057,0.05368860469050873,0.076,0.04387990762124711,20.0,,
structured,HDBSCAN,10.0,10.0,,0.47618087101751005,0.04566978490202756,0.048,0.02771362586605081,20.0,,
text,HDBSCAN,20.0,10.0,75.0,0.474621633427274,0.042951986086146726,0.0,0.0,,,
structured,HDBSCAN,10.0,5.0,,0.4692621020428496,0.04677562347482941,0.056,0.03233256351039261,20.0,,
text,HDBSCAN,20.0,5.0,75.0,0.4639988098376259,0.04133486883904928,0.0,0.0,,,
text,HDBSCAN,10.0,10.0,150.0,0.45367183009997747,0.04086254379524811,0.014,0.008083140877598153,,,
text,HDBSCAN,10.0,5.0,150.0,0.4471995756245841,0.03996536337541622,0.026,0.015011547344110854,,,
text,HDBSCAN,10.0,5.0,75.0,0.4462870680333625,0.040073544776444085,0.02,0.011547344110854504,,,
text,HDBSCAN,10.0,10.0,75.0,0.43268150858510485,0.03906020685144397,0.018,0.010392609699769052,,,
