tfidf_dim,min_cluster_size,min_samples,ensemble_percentile,n_clusters,n_anomalies,anomaly_rate
75,15,5,92.5,165,1341,0.075
75,15,5,95.0,162,894,0.05
75,15,5,97.5,163,447,0.025
75,20,5,92.5,132,1341,0.075
75,20,5,95.0,125,894,0.05
75,20,5,97.5,124,447,0.025
75,30,10,92.5,69,1341,0.075
75,30,10,95.0,66,894,0.05
75,30,10,97.5,67,447,0.025
125,15,5,92.5,196,1341,0.075
125,15,5,95.0,183,894,0.05
125,15,5,97.5,197,447,0.025
125,20,5,92.5,149,1341,0.075
125,20,5,95.0,155,894,0.05
125,20,5,97.5,133,447,0.025
125,30,10,92.5,79,1341,0.075
125,30,10,95.0,77,894,0.05
125,30,10,97.5,81,447,0.025
200,15,5,92.5,192,1341,0.075
200,15,5,95.0,194,894,0.05
200,15,5,97.5,197,447,0.025
200,20,5,92.5,138,1341,0.075
200,20,5,95.0,139,894,0.05
200,20,5,97.5,148,447,0.025
200,30,10,92.5,79,1341,0.075
200,30,10,95.0,78,894,0.05
200,30,10,97.5,79,447,0.025
